Name,Pos,Team,Salary,My_Proj,Source,ML_Prediction,PPG_Projection,Prob_Over_5,Prob_Over_10,Prob_Over_15,Prob_Over_20,Prob_Over_25,Prob_Over_30,Prob_Over_35,Prob_Over_40,Prob_Over_45,Prob_Over_50
Addison Barger,3B,TOR,4500,6.542496596196351,ML_Model,6.542496596196351,6.8,57.6%,33.3%,14.5%,4.6%,1.1%,0.2%,0.0%,0.0%,0.0%,0.0%
Luke Keaschall,2B,MIN,4700,6.514299400096142,ML_Model,6.514299400096142,7.5,57.5%,33.2%,14.4%,4.6%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Jake McCarthy,OF,ARI,2800,6.51268896624461,ML_Model,6.51268896624461,6.5,57.5%,33.1%,14.4%,4.6%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Angel Martinez,OF,CLE,2500,6.5,PPG_Projection,6.5,6.5,,,,,,,,,,
Andruw Monasterio,SS,MIL,3000,6.438956417021275,ML_Model,6.438956417021275,1.5,57.1%,32.8%,14.2%,4.5%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Ryan Ritter,2B,COL,2800,6.429315302517966,ML_Model,6.429315302517966,6.7,57.1%,32.8%,14.2%,4.5%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Oswald Peraza,1B,LAA,3200,6.396445735592725,ML_Model,6.396445735592725,1.5,56.9%,32.6%,14.1%,4.5%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Michael Massey,2B,KC,2300,6.382998696331136,ML_Model,6.382998696331136,6.7,56.9%,32.6%,14.1%,4.4%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Curtis Mead,1B,CWS,2400,6.369512510900827,ML_Model,6.369512510900827,1.5,56.8%,32.5%,14.0%,4.4%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Mike Yastrzemski,OF,KC,3900,6.327096947666843,ML_Model,6.327096947666843,6.7,56.6%,32.3%,13.9%,4.4%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Sam Haggerty,OF,TEX,3400,6.288542714282014,ML_Model,6.288542714282014,1.5,56.4%,32.1%,13.8%,4.3%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Blake Perkins,OF,MIL,3700,6.277135281190941,ML_Model,6.277135281190941,1.5,56.3%,32.1%,13.8%,4.3%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Kyle Isbel,OF,KC,2500,6.261648946207693,ML_Model,6.261648946207693,1.5,56.3%,32.0%,13.7%,4.3%,1.0%,0.2%,0.0%,0.0%,0.0%,0.0%
Gunnar Henderson,SS,BAL,4800,6.257102498479712,ML_Model,6.257102498479712,8.3,56.2%,32.0%,13.7%,4.3%,1.0%,0.1%,0.0%,0.0%,0.0%,0.0%
Jesus Sanchez,OF,HOU,3300,6.2,PPG_Projection,6.2,6.2,,,,,,,,,,
Amed Rosario,2B,NYY,3500,6.186887644262329,ML_Model,6.186887644262329,1.5,55.9%,31.7%,13.5%,4.2%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Andrew Knizner,C,SF,2100,6.139503677692066,ML_Model,6.139503677692066,1.5,55.7%,31.5%,13.4%,4.2%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Warming Bernabel,1B,COL,3700,6.136349126516292,ML_Model,6.136349126516292,1.5,55.6%,31.5%,13.4%,4.2%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Edmundo Sosa,2B,PHI,2400,6.1065740516877,ML_Model,6.1065740516877,1.5,55.5%,31.3%,13.3%,4.1%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Gavin Sheets,1B,SD,3600,6.1015308824143375,ML_Model,6.1015308824143375,7.8,55.5%,31.3%,13.3%,4.1%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Edouard Julien,1B,MIN,2400,6.048798580380757,ML_Model,6.048798580380757,1.5,55.2%,31.1%,13.2%,4.1%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Brooks Baldwin,OF,CWS,2900,6.03462657149792,ML_Model,6.03462657149792,6.0,55.1%,31.0%,13.1%,4.0%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Ben Rice,1B,NYY,4400,6.00941839346462,ML_Model,6.00941839346462,7.6,55.0%,30.9%,13.1%,4.0%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Mitch Garver,C,SEA,2600,5.958008825629971,ML_Model,5.958008825629971,5.4,54.8%,30.7%,12.9%,4.0%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Colton Cowser,OF,BAL,3400,5.950867914789155,ML_Model,5.950867914789155,1.5,54.7%,30.6%,12.9%,4.0%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Victor Caratini,C,HOU,3000,5.934793350674122,ML_Model,5.934793350674122,1.5,54.7%,30.6%,12.9%,3.9%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Lenyn Sosa,1B,CWS,3400,5.933774945222666,ML_Model,5.933774945222666,6.4,54.6%,30.6%,12.9%,3.9%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Miguel Vargas,1B,CWS,3900,5.931612583213434,ML_Model,5.931612583213434,6.2,54.6%,30.6%,12.8%,3.9%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Carlos Narvaez,C,BOS,3400,5.9,PPG_Projection,5.9,5.9,,,,,,,,,,
Isaac Paredes,3B,HOU,3200,5.898190884589196,ML_Model,5.898190884589196,6.8,54.5%,30.4%,12.8%,3.9%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Daniel Schneemann,2B,CLE,3500,5.872122705815216,ML_Model,5.872122705815216,6.5,54.3%,30.3%,12.7%,3.9%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Rafael Devers,1B,SF,5400,5.867863216183368,ML_Model,5.867863216183368,7.5,54.3%,30.3%,12.7%,3.9%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Jonathan India,2B,KC,3200,5.839630255374536,ML_Model,5.839630255374536,1.5,54.2%,30.2%,12.6%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Dylan Beavers,OF,BAL,3100,5.837754796275364,ML_Model,5.837754796275364,1.5,54.2%,30.1%,12.6%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Dylan Carlson,OF,BAL,2500,5.835302783795225,ML_Model,5.835302783795225,5.5,54.2%,30.1%,12.6%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Isaac Collins,OF,MIL,4100,5.788148545717707,ML_Model,5.788148545717707,7.2,53.9%,29.9%,12.5%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Anthony Volpe,SS,NYY,3700,5.775179746930752,ML_Model,5.775179746930752,6.7,53.9%,29.9%,12.4%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Max Muncy,3B,LAD,4500,5.736320381968824,ML_Model,5.736320381968824,7.8,53.7%,29.7%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Tommy Edman,2B,LAD,3900,5.711885095034611,ML_Model,5.711885095034611,7.5,53.5%,29.6%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Luke Maile,C,KC,2200,5.706225454283874,ML_Model,5.706225454283874,1.5,53.5%,29.6%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Dalton Rushing,C,LAD,2200,5.616995490671675,ML_Model,5.616995490671675,4.9,53.1%,29.2%,12.0%,3.6%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Joey Ortiz,SS,MIL,3000,5.615992974038583,ML_Model,5.615992974038583,5.5,53.1%,29.2%,12.0%,3.6%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Isiah Kiner-Falefa,3B,TOR,2100,5.612653467562009,ML_Model,5.612653467562009,5.8,53.1%,29.2%,12.0%,3.6%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Casey Schmitt,2B,SF,3300,5.601229037361384,ML_Model,5.601229037361384,5.8,53.0%,29.1%,12.0%,3.6%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
C.J. Kayfus,1B,CLE,3400,5.521657423085717,ML_Model,5.521657423085717,2.2,52.6%,28.8%,11.8%,3.5%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Pedro Pages,C,STL,2800,5.5,PPG_Projection,5.5,5.5,,,,,,,,,,
Steven Kwan,OF,CLE,3800,5.4676539709056335,ML_Model,5.4676539709056335,7.4,52.3%,28.6%,11.7%,3.5%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Alek Thomas,OF,ARI,2400,5.414698176481245,ML_Model,5.414698176481245,6.8,52.1%,28.3%,11.5%,3.4%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Michael Toglia,1B,COL,3000,5.301974987065116,ML_Model,5.301974987065116,1.5,51.5%,27.9%,11.3%,3.3%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Joey Wiemer,OF,MIA,3000,5.287854194665107,ML_Model,5.287854194665107,6.2,51.4%,27.8%,11.2%,3.3%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Bryce Eldridge,1B,SF,2300,5.2,PPG_Projection,5.2,5.2,,,,,,,,,,
Will Robertson,OF,CWS,2100,5.191066286266873,ML_Model,5.191066286266873,1.5,51.0%,27.4%,11.0%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Rhys Hoskins,1B,MIL,3400,5.187485919447517,ML_Model,5.187485919447517,1.5,50.9%,27.4%,11.0%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Royce Lewis,3B,MIN,3400,5.162220298454376,ML_Model,5.162220298454376,7.0,50.8%,27.3%,10.9%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Luis Rengifo,2B,LAA,3600,5.160519962759684,ML_Model,5.160519962759684,1.5,50.8%,27.3%,10.9%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Tyler O'Neill,OF,BAL,4100,4.904676359536836,ML_Model,4.904676359536836,7.7,49.5%,26.2%,10.3%,3.0%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Johan Rojas,OF,PHI,2100,4.805879562837545,ML_Model,4.805879562837545,1.5,49.0%,25.8%,10.1%,2.9%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Edgar Quero,C,CWS,3500,4.794499521960441,ML_Model,4.794499521960441,5.9,49.0%,25.8%,10.1%,2.9%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Jeremiah Jackson,3B,BAL,3900,4.778708927151662,ML_Model,4.778708927151662,6.2,48.9%,25.7%,10.1%,2.9%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Hunter Goodman,C,COL,5100,4.751476618743255,ML_Model,4.751476618743255,9.3,48.8%,25.6%,10.0%,2.8%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Alec Burleson,1B,STL,4300,4.66230355165479,ML_Model,4.66230355165479,7.6,48.3%,25.2%,9.8%,2.8%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Steward Berroa,OF,MIL,2500,4.643687878662163,ML_Model,4.643687878662163,1.5,48.2%,25.2%,9.8%,2.7%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Masataka Yoshida,OF,BOS,3300,4.494764287394149,ML_Model,4.494764287394149,7.3,47.5%,24.6%,9.5%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Lourdes Gurriel Jr.,OF,ARI,3900,4.465090427883155,ML_Model,4.465090427883155,1.5,47.3%,24.5%,9.4%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Luis Matos,OF,SF,2900,4.438217777511259,ML_Model,4.438217777511259,1.5,47.2%,24.3%,9.3%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
William Contreras,C,MIL,4900,4.386814816619308,ML_Model,4.386814816619308,7.7,46.9%,24.1%,9.2%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Gabriel Arias,SS,CLE,2600,4.371957527678795,ML_Model,4.371957527678795,6.1,46.9%,24.1%,9.2%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Josh Lowe,OF,TB,4100,4.336098899549757,ML_Model,4.336098899549757,6.4,46.7%,23.9%,9.1%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
J.C. Escarra,C,NYY,2400,4.253315820696948,ML_Model,4.253315820696948,1.5,46.3%,23.6%,9.0%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Alex Call,OF,LAD,2900,4.190562310531474,ML_Model,4.190562310531474,1.5,46.0%,23.4%,8.8%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Tyler Locklear,1B,ARI,2200,4.185509502835837,ML_Model,4.185509502835837,1.5,45.9%,23.4%,8.8%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Nathaniel Lowe,1B,BOS,4200,4.139654793218368,ML_Model,4.139654793218368,7.3,45.7%,23.2%,8.7%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Jorge Mateo,OF,BAL,2700,4.133556596688402,ML_Model,4.133556596688402,1.5,45.7%,23.2%,8.7%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Brandon Lockridge,OF,MIL,2900,4.119275822592911,ML_Model,4.119275822592911,1.5,45.6%,23.1%,8.7%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Ceddanne Rafaela,OF,BOS,3500,4.107174892479458,ML_Model,4.107174892479458,6.5,45.6%,23.1%,8.7%,2.3%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Paul Goldschmidt,1B,NYY,3400,4.093059686892114,ML_Model,4.093059686892114,1.5,45.5%,23.0%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Leo Rivas,2B,SEA,3600,4.079021373316202,ML_Model,4.079021373316202,1.5,45.4%,23.0%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Bryan Ramos,3B,CWS,2600,4.0753815700561695,ML_Model,4.0753815700561695,1.5,45.4%,22.9%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Jose Iglesias,SS,SD,2400,4.025886827078187,ML_Model,4.025886827078187,1.5,45.2%,22.8%,8.5%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Trevor Larnach,OF,MIN,3800,4.0106684004182345,ML_Model,4.0106684004182345,6.9,45.1%,22.7%,8.5%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
